id,species
0,virginica
1,versicolor
2,versicolor
3,virginica
4,virginica
5,setosa
6,versicolor
7,virginica
8,versicolor
9,versicolor
10,versicolor
11,virginica
12,setosa
13,virginica
14,setosa
15,setosa
16,versicolor
17,versicolor
18,virginica
19,virginica
20,setosa
21,setosa
22,setosa
23,versicolor
24,setosa
25,setosa
26,virginica
27,setosa
28,setosa
29,virginica
30,versicolor
31,versicolor
32,virginica
33,versicolor
34,virginica
35,setosa
36,setosa
37,virginica
38,setosa
39,versicolor
40,setosa
41,versicolor
42,versicolor
43,virginica
44,virginica
