id,species
0,Gentoo
1,Gentoo
2,Chinstrap
3,Adelie
4,Gentoo
5,Gentoo
6,Adelie
7,Adelie
8,Gentoo
9,Gentoo
10,Chinstrap
11,Chinstrap
12,Adelie
13,Adelie
14,Adelie
15,Gentoo
16,Adelie
17,Gentoo
18,Adelie
19,Adelie
20,Chinstrap
21,Chinstrap
22,Gentoo
23,Gentoo
24,Adelie
25,Adelie
26,Gentoo
27,Adelie
28,Adelie
29,Adelie
30,Chinstrap
31,Gentoo
32,Gentoo
33,Gentoo
34,Gentoo
35,Adelie
36,Gentoo
37,Gentoo
38,Adelie
39,Gentoo
40,Adelie
41,Adelie
42,Chinstrap
43,Adelie
44,Gentoo
45,Gentoo
46,Adelie
47,Gentoo
48,Adelie
49,Gentoo
50,Adelie
51,Gentoo
52,Adelie
53,Adelie
54,Adelie
55,Chinstrap
56,Chinstrap
57,Adelie
58,Gentoo
59,Adelie
60,Gentoo
61,Adelie
62,Adelie
63,Adelie
64,Gentoo
65,Adelie
66,Adelie
