id,species
0,Adelie
1,Chinstrap
2,Gentoo
3,Adelie
4,Chinstrap
5,Gentoo
6,Adelie
7,Chinstrap
8,Gentoo
9,Adelie
10,Chinstrap
11,Gentoo
12,Adelie
13,Chinstrap
14,Gentoo
15,Adelie
16,Chinstrap
17,Gentoo
18,Adelie
19,Chinstrap
20,Gentoo
21,Adelie
22,Chinstrap
23,Gentoo
24,Adelie
25,Chinstrap
26,Gentoo
27,Adelie
28,Chinstrap
29,Gentoo
30,Adelie
31,Chinstrap
32,Gentoo
33,Adelie
34,Chinstrap
35,Gentoo
36,Adelie
37,Chinstrap
38,Gentoo
39,Adelie
40,Chinstrap
41,Gentoo
42,Adelie
43,Chinstrap
44,Gentoo
45,Adelie
46,Chinstrap
47,Gentoo
48,Adelie
49,Chinstrap
50,Gentoo
51,Adelie
52,Chinstrap
53,Gentoo
54,Adelie
55,Chinstrap
56,Gentoo
57,Adelie
58,Chinstrap
59,Gentoo
60,Adelie
61,Chinstrap
62,Gentoo
63,Adelie
64,Chinstrap
65,Gentoo
66,Adelie
